Oradea,Zerind,71
Oradea,Sibiu,151
Zerind,Arad,71
Zerind,Oradea,75
Arad,Zerind,75
Arad,Sibiu,140
Arad,Timisoara,118
Sibiu,Oradea,151
Sibiu,Arad,140
Sibiu,Fagaras,99
Sibiu,Rimnicu Vilcea,80
Timisoara,Lugoj,111
Timisoara,Arad,118
Lugoj,Timisoara,11
Lugoj,Mehadia,70
Mehadia,Lugoj,70
Mehadia,Dobreta,75
Dobreta,Mehadia,75
Dobreta,Craiova,120
Craiova,Dobreta,120
Craiova,Rimnicu Vilcea,146
Craiova,Pitesti,138
Fagaras,Sibiu,99
Fagaras,Bucharest,211
Rimnicu Vilcea,Sibiu,80
Rimnicu Vilcea,Pitesti,97
Rimnicu Vilcea,Craiova,146
Pitesti,Rimnicu Vilcea,97
Pitesti,Craiova,138
Pitesti,Bucharest,101
Bucharest,Fagaras,211
Bucharest,Pitesti,101
Bucharest,Giurgiu,90
Bucharest,Urziceni,85
Giurgiu,Bucharest,90
Urziceni,Bucharest,85
Urziceni,Vaslui,142
Urziceni,Hirsova,98
Hirsova,Urziceni,98
Hirsova,Eforie,86
Eforie,Hirsova,86
Vaslui,Urziceni,142
Vaslui,Iasi,92
Iasi,Vaslui,92
Iasi,Neamt,87
Neamt,Iasi,87
